time,c_air,c_soil,c_veg,co2_ppm,p00_type,p00_stage,p00_stress,p01_type,p01_stage,p01_stress,p02_type,p02_stage,p02_stress,p03_type,p03_stage,p03_stress,p04_type,p04_stage,p04_stress,p05_type,p05_stage,p05_stress,p10_type,p10_stage,p10_stress,p11_type,p11_stage,p11_stress,p12_type,p12_stage,p12_stress,p13_type,p13_stage,p13_stress,p14_type,p14_stage,p14_stress,p15_type,p15_stage,p15_stress,p20_type,p20_stage,p20_stress,p21_type,p21_stage,p21_stress,p22_type,p22_stage,p22_stress,p23_type,p23_stage,p23_stress,p24_type,p24_stage,p24_stress,p25_type,p25_stage,p25_stress,p30_type,p30_stage,p30_stress,p31_type,p31_stage,p31_stress,p32_type,p32_stage,p32_stress,p33_type,p33_stage,p33_stress,p34_type,p34_stage,p34_stress,p35_type,p35_stage,p35_stress,p40_type,p40_stage,p40_stress,p41_type,p41_stage,p41_stress,p42_type,p42_stage,p42_stress,p43_type,p43_stage,p43_stress,p44_type,p44_stage,p44_stress,p45_type,p45_stage,p45_stress,p50_type,p50_stage,p50_stress,p51_type,p51_stage,p51_stress,p52_type,p52_stage,p52_stress,p53_type,p53_stage,p53_stress,p54_type,p54_stage,p54_stress,p55_type,p55_stage,p55_stress
0,2699999993767884423.00,0.00,6232115577.00,1200.75,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0
1,2699998399893083854.63,2388146689.11,1597718769456.26,1200.75,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0
2,2699989479314114852.69,614533676983.80,9906152208163.51,1200.75,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0
3,2699965072465716938.58,4384760788718.74,30542773494342.67,1200.73,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0
4,2699914976584670737.65,15904591638624.67,69118823690637.69,1200.71,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0,C,1,0
5,2699827031524112252.76,41722932028054.79,131245543859692.45,1200.67,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0
6,2699687201963645938.48,90263861289910.63,222534175064150.89,1200.61,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0
7,2699479656166633026.00,171747875000317.02,348595958366656.97,1200.52,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0
8,2699186841429673738.68,298116435496406.67,515042134829854.66,1200.39,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0
9,2698789556363211254.36,482959691272357.91,727483945516387.73,1200.21,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0,C,2,0
