time,c_air,c_soil,c_veg,co2_ppm,p00_type,p00_stage,p00_stress,p00_stress_age,p00_stress_env,p00_co2_ppm,p01_type,p01_stage,p01_stress,p01_stress_age,p01_stress_env,p01_co2_ppm,p02_type,p02_stage,p02_stress,p02_stress_age,p02_stress_env,p02_co2_ppm,p03_type,p03_stage,p03_stress,p03_stress_age,p03_stress_env,p03_co2_ppm,p04_type,p04_stage,p04_stress,p04_stress_age,p04_stress_env,p04_co2_ppm,p05_type,p05_stage,p05_stress,p05_stress_age,p05_stress_env,p05_co2_ppm,p10_type,p10_stage,p10_stress,p10_stress_age,p10_stress_env,p10_co2_ppm,p11_type,p11_stage,p11_stress,p11_stress_age,p11_stress_env,p11_co2_ppm,p12_type,p12_stage,p12_stress,p12_stress_age,p12_stress_env,p12_co2_ppm,p13_type,p13_stage,p13_stress,p13_stress_age,p13_stress_env,p13_co2_ppm,p14_type,p14_stage,p14_stress,p14_stress_age,p14_stress_env,p14_co2_ppm,p15_type,p15_stage,p15_stress,p15_stress_age,p15_stress_env,p15_co2_ppm,p20_type,p20_stage,p20_stress,p20_stress_age,p20_stress_env,p20_co2_ppm,p21_type,p21_stage,p21_stress,p21_stress_age,p21_stress_env,p21_co2_ppm,p22_type,p22_stage,p22_stress,p22_stress_age,p22_stress_env,p22_co2_ppm,p23_type,p23_stage,p23_stress,p23_stress_age,p23_stress_env,p23_co2_ppm,p24_type,p24_stage,p24_stress,p24_stress_age,p24_stress_env,p24_co2_ppm,p25_type,p25_stage,p25_stress,p25_stress_age,p25_stress_env,p25_co2_ppm,p30_type,p30_stage,p30_stress,p30_stress_age,p30_stress_env,p30_co2_ppm,p31_type,p31_stage,p31_stress,p31_stress_age,p31_stress_env,p31_co2_ppm,p32_type,p32_stage,p32_stress,p32_stress_age,p32_stress_env,p32_co2_ppm,p33_type,p33_stage,p33_stress,p33_stress_age,p33_stress_env,p33_co2_ppm,p34_type,p34_stage,p34_stress,p34_stress_age,p34_stress_env,p34_co2_ppm,p35_type,p35_stage,p35_stress,p35_stress_age,p35_stress_env,p35_co2_ppm,p40_type,p40_stage,p40_stress,p40_stress_age,p40_stress_env,p40_co2_ppm,p41_type,p41_stage,p41_stress,p41_stress_age,p41_stress_env,p41_co2_ppm,p42_type,p42_stage,p42_stress,p42_stress_age,p42_stress_env,p42_co2_ppm,p43_type,p43_stage,p43_stress,p43_stress_age,p43_stress_env,p43_co2_ppm,p44_type,p44_stage,p44_stress,p44_stress_age,p44_stress_env,p44_co2_ppm,p45_type,p45_stage,p45_stress,p45_stress_age,p45_stress_env,p45_co2_ppm,p50_type,p50_stage,p50_stress,p50_stress_age,p50_stress_env,p50_co2_ppm,p51_type,p51_stage,p51_stress,p51_stress_age,p51_stress_env,p51_co2_ppm,p52_type,p52_stage,p52_stress,p52_stress_age,p52_stress_env,p52_co2_ppm,p53_type,p53_stage,p53_stress,p53_stress_age,p53_stress_env,p53_co2_ppm,p54_type,p54_stage,p54_stress,p54_stress_age,p54_stress_env,p54_co2_ppm,p55_type,p55_stage,p55_stress,p55_stress_age,p55_stress_env,p55_co2_ppm,p00_c_absorbed,p01_c_absorbed,p02_c_absorbed,p03_c_absorbed,p04_c_absorbed,p05_c_absorbed,p10_c_absorbed,p11_c_absorbed,p12_c_absorbed,p13_c_absorbed,p14_c_absorbed,p15_c_absorbed,p20_c_absorbed,p21_c_absorbed,p22_c_absorbed,p23_c_absorbed,p24_c_absorbed,p25_c_absorbed,p30_c_absorbed,p31_c_absorbed,p32_c_absorbed,p33_c_absorbed,p34_c_absorbed,p35_c_absorbed,p40_c_absorbed,p41_c_absorbed,p42_c_absorbed,p43_c_absorbed,p44_c_absorbed,p45_c_absorbed,p50_c_absorbed,p51_c_absorbed,p52_c_absorbed,p53_c_absorbed,p54_c_absorbed,p55_c_absorbed
0,871510910471970180.22,779256500486808490.39,629232589041221329.39,626.20,D,3,0,0,0.0001,614.7333396014031,D,6,1.00001,1.01,0.00001,625.8448175083336,D,4,0,0,0.00001,625.7968082002855,D,3,0,0,0.0001,615.0277908083405,C,5,0,0.01,0.00001,616.5173308746339,C,2,0,0,0.0001,609.243472376752,D,3,0,0,0.0001,610.9618378962821,D,1,0,0,0.0001,616.5177588392273,C,4,0,0,0.00001,621.8004547293385,C,3,0,0,0.00001,618.5074196706473,C,2,0,0,0.0001,612.2172639561652,C,2,0,0,0.0001,611.2615126286912,D,6,1.00001,1.01,0.00001,622.1371657368775,C,2,0,0,0.0001,613.178238809111,D,3,0,0,0.0001,611.5559638356285,D,3,0,0,0.00001,609.9408911128551,C,2,0,0,0.0001,612.5479140164335,C,2,0,0,0.0001,610.6673866893448,C,4,0,0,0.00001,621.6205887287751,C,5,0,0.01,0.00001,617.5099430497734,D,6,1.00001,1.01,0.00001,619.5001825299805,C,2,0,0,0.0001,613.5088888693793,C,2,0,0,0.0001,612.8475887488427,C,3,0,0,0.00001,621.1378822343733,C,2,0,0,0.0001,610.3041389010999,C,5,0,0.01,0.00001,616.0208175192028,C,5,0,0.01,0.00001,615.5243041637716,C,2,0,0,0.0001,613.8395389296477,C,2,0,0,0.0001,614.1392136620567,C,2,0,0,0.0001,609.6067201649969,C,2,0,0,0.0001,611.8866138958969,C,2,0,0,0.0001,614.4388883944658,C,3,0,0,0.00001,623.6511334687088,C,3,0,0,0.00001,622.48449973747,C,5,0,0.01,0.00001,617.0138509445004,C,3,0,0,0.00001,623.122485119131,111638603854706.85,3219570406.77,3219570406.77,111638603854706.85,12440652366.68,472433773624537.93,111638603854706.85,563424821184.53,12440652366.68,1243132187740139.75,431379620814505.80,392191565859475.18,3219570406.77,431379620814505.80,111638603854706.85,122263186197044.03,431379620814505.80,472433773624537.93,12440652366.68,12440652366.68,3219570406.77,431379620814505.80,392191565859475.18,3084970770626612.50,472433773624537.93,12440652366.68,12440652366.68,431379620814505.80,392191565859475.18,472433773624537.93,431379620814505.80,392191565859475.18,1047191912964989.68,868046518884847.18,12440652366.68,812063583234802.75
1,870359823878809635.39,767705340992819269.87,641934835128371094.73,625.37,D,3,0,0,0.00001,614.7816560849342,D,6,1.00001,1.01,0.00001,625.8448175083336,D,4,0,0,0.00001,626.1970444543176,D,3,0,0,0.00001,615.1158270327924,C,5,0,0.01,0.00001,616.6066313858908,C,2,0,0,0.0001,608.7073210246991,D,3,0,0,0.00001,610.6112272186754,D,1,0,0,0.0001,616.6079152796713,C,4,0,0,0.00001,622.0507620235903,C,3,0,0,0.00001,618.6569613329953,C,2,0,0,0.0001,612.0025438032916,C,2,0,0,0.0001,610.9418772789437,D,6,1.00001,1.01,0.00001,622.1371657368775,C,2,0,0,0.0001,613.0596894400496,D,3,0,0,0.00001,611.2760482268019,D,3,0,0,0.00001,609.4820936216089,C,2,0,0,0.0001,612.3657915915364,C,2,0,0,0.0001,610.2770562708172,C,4,0,0,0.00001,621.8704799573982,C,5,0,0.01,0.00001,617.6009419905336,D,6,1.00001,1.01,0.00001,619.5001825299805,C,2,0,0,0.0001,613.4229372282945,C,2,0,0,0.0001,612.6964416518048,C,3,0,0,0.00001,621.387357933698,C,2,0,0,0.0001,609.8795749462131,C,5,0,0.01,0.00001,616.1096966015247,C,5,0,0.01,0.00001,615.6127618171586,C,2,0,0,0.0001,613.7861850165394,C,2,0,0,0.0001,614.1168350768078,C,2,0,0,0.0001,609.1048023493032,C,2,0,0,0.0001,611.6392960150467,C,2,0,0,0.0001,614.4474851370761,C,3,0,0,0.00001,624.0484154644955,C,3,0,0,0.00001,622.7826097326985,C,5,0,0.01,0.00001,617.1044286351024,C,3,0,0,0.00001,623.4666547408299,122263186197044.03,3219570406.77,3219570406.77,122263186197044.03,12440652366.68,515354024289572.50,122263186197044.03,1529295943215.17,12440652366.68,1312177808375195.00,472433773624537.93,431379620814505.80,3219570406.77,472433773624537.93,122263186197044.03,133370704100395.95,472433773624537.93,515354024289572.50,12440652366.68,12440652366.68,3219570406.77,472433773624537.93,431379620814505.80,3193204446216683.75,515354024289572.50,12440652366.68,12440652366.68,472433773624537.93,431379620814505.80,515354024289572.50,472433773624537.93,431379620814505.80,1110639240035036.75,925895552389894.75,12440652366.68,868046518884847.18
2,867453724032604532.10,756886952829078098.60,655659323138317369.30,623.28,D,3,0,0,0.00001,613.5893210444098,D,6,1.00001,1.01,0.00001,625.8448175083336,D,4,0,0,0.00001,625.3699670030924,D,3,0,0,0.00001,613.9666123167156,C,5,0,0.01,0.00001,615.4586814929495,C,2,0,0,0.0001,606.8955249144461,D,3,0,0,0.00001,608.9968593991941,D,2,0,0,0.0001,615.4614459128912,C,4,0,0,0.00001,621.0683996640282,C,3,0,0,0.00001,617.5717144780372,C,2,0,0,0.0001,610.532361108953,C,2,0,0,0.0001,609.360107187439,D,6,1.00001,1.01,0.00001,622.1371657368775,C,2,0,0,0.0001,611.6905715464061,D,3,0,0,0.00001,609.7373984597448,D,3,0,0,0.00001,607.7528399716654,C,2,0,0,0.0001,610.929842433557,C,2,0,0,0.0001,608.6195681268883,C,4,0,0,0.00001,620.8877013534303,C,5,0,0.01,0.00001,616.4553154816234,D,6,1.00001,1.01,0.00001,619.5001825299805,C,2,0,0,0.0001,612.0880528710102,C,2,0,0,0.0001,611.2930902218019,C,3,0,0,0.00001,620.4041636216551,C,2,0,0,0.0001,608.1862040492769,C,5,0,0.01,0.00001,614.9613251008715,C,5,0,0.01,0.00001,614.4639687087935,C,2,0,0,0.0001,612.4855341956143,C,2,0,0,0.0001,612.8487819838591,C,2,0,0,0.0001,607.3288889920576,C,2,0,0,0.0001,610.1348797843489,C,2,0,0,0.0001,613.212029772104,C,3,0,0,0.00001,623.2183240713138,C,3,0,0,0.00001,621.8498065568845,C,5,0,0.01,0.00001,615.9583806972573,C,3,0,0,0.00001,622.5816542659926,133370704100395.95,3219570406.77,3219570406.77,133370704100395.95,12440652366.68,560140372809607.08,133370704100395.95,2978102626261.11,12440652366.68,1383089526865250.25,515354024289572.50,472433773624537.93,3219570406.77,515354024289572.50,133370704100395.95,144961157564763.70,515354024289572.50,560140372809607.08,12440652366.68,12440652366.68,3219570406.77,515354024289572.50,472433773624537.93,3303304219661697.75,560140372809607.08,12440652366.68,12440652366.68,515354024289572.50,472433773624537.93,560140372809607.08,515354024289572.50,472433773624537.93,1175952664960090.25,985610683749938.00,12440652366.68,925895552389894.75
3,866159850108929412.28,746811013438361007.96,667029136452709579.75,622.35,D,3,0,0,0.00001,613.5762872640493,D,6,1.00001,1.01,0.00001,625.8448175083336,D,4,0,0,0.00001,623.2818793925801,D,3,0,0,0.00001,614.0002382436569,C,5,0,0.01,0.00001,615.493572779357,C,2,0,0,0.0001,606.2273073254515,D,3,0,0,0.00001,608.5382755407483,D,2,0,0,0.0001,615.4985811217621,C,4,0,0,0.00001,618.8196888048793,C,3,0,0,0.00001,617.6719228969133,C,2,0,0,0.0001,610.2264360001832,C,2,0,0,0.0001,608.9357568653525,D,6,1.00001,1.01,0.00001,622.1371657368775,C,2,0,0,0.0001,611.4906454800102,D,3,0,0,0.00001,609.3597078449601,D,3,0,0,0.00001,607.1725056500755,C,2,0,0,0.0001,610.6598000777947,C,2,0,0,0.0001,608.1143245611406,C,4,0,0,0.00001,618.6385740710988,C,5,0,0.01,0.00001,616.493293905918,D,6,1.00001,1.01,0.00001,619.5001825299805,C,2,0,0,0.0001,611.9240095576218,C,2,0,0,0.0001,611.0572814023988,C,4,0,0,0.00001,618.1546204524717,C,2,0,0,0.0001,607.6434151056081,C,5,0,0.01,0.00001,614.9957946007903,C,5,0,0.01,0.00001,614.4980164222236,C,2,0,0,0.0001,612.3573736352333,C,2,0,0,0.0001,612.7548549598374,C,2,0,0,0.0001,606.698216780984,C,2,0,0,0.0001,609.7930719225716,C,2,0,0,0.0001,613.1523362844415,C,3,0,0,0.00001,621.1272206681874,C,3,0,0,0.00001,619.6524247725208,C,5,0,0.01,0.00001,615.99593751384,C,3,0,0,0.00001,620.4338316653772,144961157564763.70,3219570406.77,3219570406.77,144961157564763.70,12440652366.68,606792819184643.68,144961157564763.70,4909844870322.37,12440652366.68,1455867343210307.75,560140372809607.08,515354024289572.50,3219570406.77,560140372809607.08,144961157564763.70,157034546590146.70,560140372809607.08,606792819184643.68,12440652366.68,12440652366.68,3219570406.77,560140372809607.08,515354024289572.50,24.30,606792819184643.68,12440652366.68,12440652366.68,560140372809607.08,515354024289572.50,606792819184643.68,560140372809607.08,515354024289572.50,1243132187740139.75,1047191912964989.68,12440652366.68,985610683749938.00
4,863160670877282993.70,737455250016099141.86,679384079106617864.44,620.20,D,3,0,0,0.00001,612.3600837798433,D,6,1.00001,1.01,0.00001,625.8448175083336,D,4,0,0,0.00001,622.3522065483663,D,3,0,0,0.00001,612.8343726489348,C,5,0,0.01,0.00001,614.3289730804318,C,3,0,0,0.0001,604.3194677889448,D,3,0,0,0.00001,606.852592998019,D,2,0,0,0.0001,614.3371275409295,C,4,0,0,0.00001,617.7240141469327,C,3,0,0,0.00001,616.575406632535,C,2,0,0,0.0001,608.7020648557871,C,2,0,0,0.0001,607.2859570756306,D,6,1.00001,1.01,0.00001,622.1371657368775,C,2,0,0,0.0001,610.0772478444636,D,3,0,0,0.00001,607.7602459447221,D,3,0,0,0.00001,605.3580423956623,C,2,0,0,0.0001,609.1729743113196,C,3,0,0,0.0001,606.3783041289274,C,4,0,0,0.00001,617.5424828111928,C,5,0,0.01,0.00001,615.3326838980629,D,6,1.00001,1.01,0.00001,619.5001825299805,C,2,0,0,0.0001,610.5481572999962,C,2,0,0,0.0001,609.6063383889311,C,4,0,0,0.00001,617.058113126937,C,3,0,0,0.0001,605.8681732622949,C,5,0,0.01,0.00001,613.8307729365995,C,5,0,0.01,0.00001,613.3325727927671,C,2,0,0,0.0001,611.0190667555287,C,2,0,0,0.0001,611.4524308331402,C,3,0,0,0.0001,604.8295986555773,C,2,0,0,0.0001,608.2311554002546,C,2,0,0,0.0001,611.8857949107517,C,3,0,0,0.00001,620.1945301807017,C,3,0,0,0.00001,618.6098624886621,C,5,0,0.01,0.00001,614.8349057194962,C,3,0,0,0.00001,619.4425984563037,157034546590146.70,3219570406.77,3219570406.77,157034546590146.70,12440652366.68,655311363414681.18,157034546590146.70,7324522675398.95,12440652366.68,1530511257410371.25,606792819184643.68,560140372809607.08,3219570406.77,606792819184643.68,157034546590146.70,169590871176544.58,606792819184643.68,655311363414681.18,12440652366.68,12440652366.68,3219570406.77,606792819184643.68,560140372809607.08,12440652366.68,655311363414681.18,12440652366.68,12440652366.68,606792819184643.68,560140372809607.08,655311363414681.18,606792819184643.68,560140372809607.08,1312177808375195.00,1110639240035036.75,12440652366.68,1047191912964989.68
5,860426683279995887.72,726812728007815221.92,692760588712188890.36,618.23,D,3,0,0,0.00001,611.4018913316494,D,6,1.00001,1.01,0.00001,625.8448175083336,D,4,0,0,0.00001,620.1972396419524,D,3,0,0,0.00001,611.9303350717344,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,602.6324575400224,D,3,0,0,0.00001,605.4005808295541,D,2,0,0,0.0001,611.9426766452821,C,4,0,0,0.00001,615.397626636894,C,3,0,0,0.00001,614.2477705680559,C,3,0,0,0.0001,607.4201957584366,C,2,0,0,0.0001,605.8714902850866,D,6,1.00001,1.01,0.00001,622.1371657368775,C,3,0,0,0.0001,608.9113669472342,D,3,0,0,0.00001,606.3999340251717,D,3,0,0,0.00001,603.7700536511151,C,3,0,0,0.0001,607.9303266250693,C,3,0,0,0.00001,604.8721370894691,C,4,0,0,0.00001,615.2156785204177,C,5,0,0.01,0.00001,612.9390769329467,D,6,1.00001,1.01,0.00001,619.5001825299805,C,3,0,0,0.0001,609.4214978138668,C,2,0,0,0.0001,608.4012360806017,C,4,0,0,0.00001,614.7308925917561,C,3,0,0,0.00001,604.321095370292,C,6,1.00001,1.01,0.00001,611.9303350717344,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.0001,609.9316286804993,C,2,0,0,0.0001,610.4025381360318,C,3,0,0,0.00001,603.1834992591994,C,3,0,0,0.0001,606.9100648918042,C,2,0,0,0.0001,610.8734475915643,C,3,0,0,0.00001,618.0365437803582,C,3,0,0,0.00001,616.3383840602789,C,5,0,0.01,0.00001,612.4408767891143,C,3,0,0,0.00001,617.2242324020082,169590871176544.58,3219570406.77,3219570406.77,169590871176544.58,12440652366.68,705696005499720.70,169590871176544.58,10222136041490.85,12440652366.68,1607021269465430.50,655311363414681.18,606792819184643.68,3219570406.77,655311363414681.18,169590871176544.58,182630131323957.88,655311363414681.18,705696005499720.70,12440652366.68,12440652366.68,3219570406.77,655311363414681.18,606792819184643.68,12440652366.68,705696005499720.70,12440652366.68,12440652366.68,655311363414681.18,606792819184643.68,705696005499720.70,655311363414681.18,606792819184643.68,1383089526865250.25,1175952664960090.25,12440652366.68,1110639240035036.75
6,867489330260840465.15,720929291076367403.81,691581378662792131.04,623.31,D,3,0,0,0.00001,617.4166224046246,D,6,1.00001,1.01,0.00001,625.8448175083336,D,5,0,0,0.00001,618.2328179319949,D,3,0,0,0.00001,618.0031767965403,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,607.8804595590801,D,3,0,0,0.00001,610.8967398392011,D,2,0,0,0.0001,610.7286650478417,C,4,0,0,0.00001,613.2563253086229,C,3,0,0,0.00001,612.1052201490141,C,3,0,0,0.00001,613.0955085361034,C,3,0,0,0.0001,611.4068707058336,D,6,1.00001,1.01,0.00001,622.1371657368775,C,3,0,0,0.00001,614.7077228410898,D,3,0,0,0.00001,611.9934250977493,D,3,0,0,0.00001,609.1228746044227,C,3,0,0,0.00001,613.6465502552803,C,3,0,0,0.00001,610.3101854472854,C,4,0,0,0.00001,613.0739602326335,C,6,1.00001,1.01,0.00001,610.7286650478417,D,6,1.00001,1.01,0.00001,619.5001825299805,C,3,0,0,0.00001,615.2587645602669,C,3,0,0,0.0001,614.1566811219128,C,4,0,0,0.00001,612.5887578807893,C,3,0,0,0.00001,609.716530025854,C,6,1.00001,1.01,0.00001,611.9303350717344,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,615.8098062794438,C,3,0,0,0.0001,616.3199371460763,C,3,0,0,0.00001,608.4741149805116,C,3,0,0,0.00001,612.5444668169263,C,3,0,0,0.0001,616.8300680127089,C,3,0,0,0.00001,616.0691007258135,C,3,0,0,0.00001,614.2538019294968,C,6,1.00001,1.01,0.00001,610.7286650478417,C,3,0,0,0.00001,615.1945593528818,182630131323957.88,3219570406.77,3219570406.77,182630131323957.88,12440652366.68,757946745439762.25,182630131323957.88,13602684968598.06,12440652366.68,1685397379375497.50,705696005499720.70,655311363414681.18,3219570406.77,705696005499720.70,182630131323957.88,196152327032387.23,705696005499720.70,757946745439762.25,12440652366.68,12440652366.68,3219570406.77,705696005499720.70,655311363414681.18,12440652366.68,757946745439762.25,12440652366.68,12440652366.68,705696005499720.70,655311363414681.18,757946745439762.25,705696005499720.70,655311363414681.18,1455867343210307.75,1243132187740139.75,12440652366.68,1175952664960090.25
7,879635729203030640.82,719276714108467921.96,681087556688501437.22,632.03,D,3,0,0,0.00001,627.0304631079471,D,6,1.00001,1.01,0.00001,625.8448175083336,D,5,0,0.01,0.00001,623.3074631398604,D,3,0,0,0.00001,627.6792227318582,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,616.6889304505353,D,3,0,0,0.00001,619.9668444548286,D,2,0,0,0.0001,620.4113964841067,C,4,0,0,0.00001,618.14859165869,C,3,0,0,0.00001,616.9962368719797,C,3,0,0,0.00001,622.3539566407795,C,3,0,0,0.00001,620.5178861740056,D,6,1.00001,1.01,0.00001,622.1371657368775,C,3,0,0,0.00001,624.0923092028191,D,3,0,0,0.00001,621.1666457979168,D,3,0,0,0.00001,618.0421140675954,C,3,0,0,0.00001,622.9476120622109,C,3,0,0,0.00001,619.3180848309174,C,4,0,0,0.00001,617.9658094444105,C,6,1.00001,1.01,0.00001,610.7286650478417,D,6,1.00001,1.01,0.00001,619.5001825299805,C,3,0,0,0.00001,624.6859646242506,C,3,0,0,0.00001,623.4986537813878,C,4,0,0,0.00001,617.4801904906069,C,3,0,0,0.00001,618.6800994492564,C,6,1.00001,1.01,0.00001,611.9303350717344,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,625.2796200456819,C,3,0,0,0.00001,625.8306617648589,C,3,0,0,0.00001,617.3269158321963,C,3,0,0,0.00001,621.7603012193481,C,3,0,0,0.00001,626.3817034840359,C,3,0,0,0.00001,621.1407227384341,C,3,0,0,0.00001,619.2046110011518,C,6,1.00001,1.01,0.00001,610.7286650478417,C,3,0,0,0.00001,620.2020876220257,196152327032387.23,3219570406.77,3219570406.77,196152327032387.23,12440652366.68,812063583234802.75,196152327032387.23,17466169456720.58,12440652366.68,1765639587140557.00,757946745439762.25,705696005499720.70,3219570406.77,757946745439762.25,196152327032387.23,210157458301830.65,757946745439762.25,812063583234802.75,12440652366.68,12440652366.68,3219570406.77,757946745439762.25,705696005499720.70,12440652366.68,812063583234802.75,12440652366.68,12440652366.68,757946745439762.25,705696005499720.70,812063583234802.75,757946745439762.25,705696005499720.70,1530511257410371.25,1312177808375195.00,12440652366.68,1243132187740139.75
8,889756194067325998.68,718084627637624963.09,672159178295049038.23,639.31,D,3,0,0,0.00001,635.2194987256115,C,1,0,0,0.0001,625.9980780885533,D,5,0,0.01,0.00001,632.0348801199226,D,3,0,0,0.00001,635.9346969610107,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,624.0332259936213,D,3,0,0,0.00001,627.5865682791218,D,2,0,0,0.0001,628.6750136071463,C,4,0,0,0.00001,626.4853652379634,C,3,0,0,0.00001,625.3315368167306,C,3,0,0,0.00001,630.1713926992743,C,3,0,0,0.00001,628.1802237005531,D,6,1.00001,1.01,0.00001,622.1371657368775,C,3,0,0,0.00001,632.0410188840277,D,3,0,0,0.00001,628.8954219359523,D,3,0,0,0.00001,625.5032800274598,C,3,0,0,0.00001,630.8093780809353,C,3,0,0,0.00001,626.8713700437227,C,4,0,0,0.00001,626.3019422355264,C,6,1.00001,1.01,0.00001,610.7286650478417,D,6,1.00001,1.01,0.00001,619.5001825299805,C,3,0,0,0.00001,632.6790042656887,C,3,0,0,0.00001,631.4030335023667,C,4,0,0,0.00001,625.8159065009866,C,3,0,0,0.00001,626.1873250355912,C,6,1.00001,1.01,0.00001,611.9303350717344,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,633.3169896473498,C,3,0,0,0.00001,633.9106450687812,C,3,0,0,0.00001,624.7172710017528,C,3,0,0,0.00001,629.5334073176133,C,3,0,0,0.00001,634.5043004902125,C,3,0,0,0.00001,629.8651146725936,C,3,0,0,0.00001,627.6017642343771,C,6,1.00001,1.01,0.00001,610.7286650478417,C,3,0,0,0.00001,628.6577835768388,210157458301830.65,311016309166.91,3219570406.77,210157458301830.65,12440652366.68,868046518884847.18,210157458301830.65,21812589505858.44,12440652366.68,1847747892760624.25,812063583234802.75,757946745439762.25,3219570406.77,812063583234802.75,210157458301830.65,224645525132290.43,812063583234802.75,868046518884847.18,12440652366.68,12440652366.68,3219570406.77,812063583234802.75,757946745439762.25,12440652366.68,868046518884847.18,12440652366.68,12440652366.68,812063583234802.75,757946745439762.25,868046518884847.18,812063583234802.75,757946745439762.25,1607021269465430.50,1383089526865250.25,12440652366.68,1312177808375195.00
9,897930552229495645.57,717452194915087923.66,664617252855416430.77,645.18,D,3,0,0,0.00001,642.0396260184631,C,1,0,0,0.0001,635.7572777676371,D,5,0,0.01,0.00001,639.3066252126988,D,3,0,0,0.00001,642.8256350441701,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,629.9685134444221,D,3,0,0,0.00001,633.8113963916161,D,2,0,0,0.0001,635.5756907764605,C,4,0,0,0.00001,633.4606832478833,C,3,0,0,0.00001,632.3058275979784,C,3,0,0,0.00001,636.6034808152472,C,3,0,0,0.00001,634.4493817732772,D,6,1.00001,1.01,0.00001,622.1371657368775,C,3,0,0,0.00001,638.609556213171,D,3,0,0,0.00001,635.2353907989842,D,3,0,0,0.00001,631.5616919476929,C,3,0,0,0.00001,637.2875258233786,C,3,0,0,0.00001,633.0253873659091,C,4,0,0,0.00001,633.2770662206931,C,6,1.00001,1.01,0.00001,610.7286650478417,D,6,1.00001,1.01,0.00001,619.5001825299805,C,3,0,0,0.00001,639.2936012213025,C,3,0,0,0.00001,637.9255112050396,C,4,0,0,0.00001,632.79061352664,C,3,0,0,0.00001,632.293539656801,C,6,1.00001,1.01,0.00001,611.9303350717344,C,6,1.00001,1.01,0.00001,611.9303350717344,C,3,0,0,0.00001,639.977646229434,C,3,0,0,0.00001,640.615631611095,C,3,0,0,0.00001,630.7003611535303,C,3,0,0,0.00001,635.9194358071156,C,3,0,0,0.00001,641.2536169927561,C,3,0,0,0.00001,637.1338328688095,C,3,0,0,0.00001,634.6393122388787,C,6,1.00001,1.01,0.00001,610.7286650478417,C,3,0,0,0.00001,635.7557112352924,224645525132290.43,2177114164168.38,3219570406.77,224645525132290.43,12440652366.68,925895552389894.75,224645525132290.43,26641945116011.56,12440652366.68,1931722296235683.25,868046518884847.18,812063583234802.75,3219570406.77,868046518884847.18,224645525132290.43,239616527523765.50,868046518884847.18,925895552389894.75,12440652366.68,12440652366.68,3219570406.77,868046518884847.18,812063583234802.75,12440652366.68,925895552389894.75,12440652366.68,12440652366.68,868046518884847.18,812063583234802.75,925895552389894.75,868046518884847.18,812063583234802.75,1685397379375497.50,1455867343210307.75,12440652366.68,1383089526865250.25
