time,c_air,c_soil,c_veg,co2_ppm,p00_type,p00_stage,p00_stress,p00_stress_age,p00_stress_env,p00_co2_ppm,p01_type,p01_stage,p01_stress,p01_stress_age,p01_stress_env,p01_co2_ppm,p02_type,p02_stage,p02_stress,p02_stress_age,p02_stress_env,p02_co2_ppm,p03_type,p03_stage,p03_stress,p03_stress_age,p03_stress_env,p03_co2_ppm,p04_type,p04_stage,p04_stress,p04_stress_age,p04_stress_env,p04_co2_ppm,p05_type,p05_stage,p05_stress,p05_stress_age,p05_stress_env,p05_co2_ppm,p10_type,p10_stage,p10_stress,p10_stress_age,p10_stress_env,p10_co2_ppm,p11_type,p11_stage,p11_stress,p11_stress_age,p11_stress_env,p11_co2_ppm,p12_type,p12_stage,p12_stress,p12_stress_age,p12_stress_env,p12_co2_ppm,p13_type,p13_stage,p13_stress,p13_stress_age,p13_stress_env,p13_co2_ppm,p14_type,p14_stage,p14_stress,p14_stress_age,p14_stress_env,p14_co2_ppm,p15_type,p15_stage,p15_stress,p15_stress_age,p15_stress_env,p15_co2_ppm,p20_type,p20_stage,p20_stress,p20_stress_age,p20_stress_env,p20_co2_ppm,p21_type,p21_stage,p21_stress,p21_stress_age,p21_stress_env,p21_co2_ppm,p22_type,p22_stage,p22_stress,p22_stress_age,p22_stress_env,p22_co2_ppm,p23_type,p23_stage,p23_stress,p23_stress_age,p23_stress_env,p23_co2_ppm,p24_type,p24_stage,p24_stress,p24_stress_age,p24_stress_env,p24_co2_ppm,p25_type,p25_stage,p25_stress,p25_stress_age,p25_stress_env,p25_co2_ppm,p30_type,p30_stage,p30_stress,p30_stress_age,p30_stress_env,p30_co2_ppm,p31_type,p31_stage,p31_stress,p31_stress_age,p31_stress_env,p31_co2_ppm,p32_type,p32_stage,p32_stress,p32_stress_age,p32_stress_env,p32_co2_ppm,p33_type,p33_stage,p33_stress,p33_stress_age,p33_stress_env,p33_co2_ppm,p34_type,p34_stage,p34_stress,p34_stress_age,p34_stress_env,p34_co2_ppm,p35_type,p35_stage,p35_stress,p35_stress_age,p35_stress_env,p35_co2_ppm,p40_type,p40_stage,p40_stress,p40_stress_age,p40_stress_env,p40_co2_ppm,p41_type,p41_stage,p41_stress,p41_stress_age,p41_stress_env,p41_co2_ppm,p42_type,p42_stage,p42_stress,p42_stress_age,p42_stress_env,p42_co2_ppm,p43_type,p43_stage,p43_stress,p43_stress_age,p43_stress_env,p43_co2_ppm,p44_type,p44_stage,p44_stress,p44_stress_age,p44_stress_env,p44_co2_ppm,p45_type,p45_stage,p45_stress,p45_stress_age,p45_stress_env,p45_co2_ppm,p50_type,p50_stage,p50_stress,p50_stress_age,p50_stress_env,p50_co2_ppm,p51_type,p51_stage,p51_stress,p51_stress_age,p51_stress_env,p51_co2_ppm,p52_type,p52_stage,p52_stress,p52_stress_age,p52_stress_env,p52_co2_ppm,p53_type,p53_stage,p53_stress,p53_stress_age,p53_stress_env,p53_co2_ppm,p54_type,p54_stage,p54_stress,p54_stress_age,p54_stress_env,p54_co2_ppm,p55_type,p55_stage,p55_stress,p55_stress_age,p55_stress_env,p55_co2_ppm,p00_c_absorbed,p01_c_absorbed,p02_c_absorbed,p03_c_absorbed,p04_c_absorbed,p05_c_absorbed,p10_c_absorbed,p11_c_absorbed,p12_c_absorbed,p13_c_absorbed,p14_c_absorbed,p15_c_absorbed,p20_c_absorbed,p21_c_absorbed,p22_c_absorbed,p23_c_absorbed,p24_c_absorbed,p25_c_absorbed,p30_c_absorbed,p31_c_absorbed,p32_c_absorbed,p33_c_absorbed,p34_c_absorbed,p35_c_absorbed,p40_c_absorbed,p41_c_absorbed,p42_c_absorbed,p43_c_absorbed,p44_c_absorbed,p45_c_absorbed,p50_c_absorbed,p51_c_absorbed,p52_c_absorbed,p53_c_absorbed,p54_c_absorbed,p55_c_absorbed
0,2279988803412869991.19,0.00,11196587130008.81,1638.22,C,1,0,0,0.0005,1638.215451402523,C,1,0,0,0.0005,1638.2226024774202,C,1,0,0,0.0005,1638.2194738821527,C,1,0,0,0.0005,1638.2181330556095,C,1,0,0,0.0005,1638.2205912376055,C,1,0,0,0.0005,1638.2210381797865,C,1,0,0,0.0005,1638.2161218157946,C,1,0,0,0.0005,1638.220814708696,C,1,0,0,0.0005,1638.2214851219676,C,1,0,0,0.0005,1638.2230494196012,C,1,0,0,0.0005,1638.218803468881,C,1,0,0,0.0005,1638.2228259485107,C,1,0,0,0.0005,1638.2156748736136,C,1,0,0,0.0005,1638.2176861134285,C,1,0,0,0.0005,1638.2190269399716,C,1,0,0,0.0005,1638.2152279314325,C,1,0,0,0.0005,1638.2221555352392,C,1,0,0,0.0005,1638.2219320641486,C,1,0,0,0.0005,1638.2196973532432,C,1,0,0,0.0005,1638.215898344704,C,1,0,0,0.0005,1638.2167922290664,C,1,0,0,0.0005,1638.2201442954245,C,1,0,0,0.0005,1638.217909584519,C,1,0,0,0.0005,1638.217015700157,C,1,0,0,0.0005,1638.217462642338,C,1,0,0,0.0005,1638.2185799977906,C,1,0,0,0.0005,1638.2172391712475,C,1,0,0,0.0005,1638.2183565267,C,1,0,0,0.0005,1638.2192504110621,C,1,0,0,0.0005,1638.2199208243337,C,1,0,0,0.0005,1638.220367766515,C,1,0,0,0.0005,1638.216568757976,C,1,0,0,0.0005,1638.221261650877,C,1,0,0,0.0005,1638.2223790063297,C,1,0,0,0.0005,1638.2163452868851,C,1,0,0,0.0005,1638.221708593058,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91,311016309166.91
1,2279910318696064768.44,108606895161.09,89572697040070.47,1638.16,C,1,0,0,0.0005,1638.1774076840702,C,1,0,0,0.0005,1638.1617423606235,C,1,0,0,0.0005,1638.1633088929682,C,1,0,0,0.0005,1638.2134379279973,C,1,0,0,0.0005,1638.1915064751722,C,1,0,0,0.0005,1638.193073007517,C,1,0,0,0.0005,1638.2040387339293,C,1,0,0,0.0005,1638.210304863308,C,1,0,0,0.0005,1638.2118713956527,C,1,0,0,0.0005,1638.1789742164149,C,1,0,0,0.0005,1638.1993391368953,C,1,0,0,0.0005,1638.1868068781382,C,1,0,0,0.0005,1638.2024722015847,C,1,0,0,0.0005,1638.1946395398616,C,1,0,0,0.0005,1638.2087383309633,C,1,0,0,0.0005,1638.1899399428276,C,1,0,0,0.0005,1638.197772604551,C,1,0,0,0.0005,1638.1852403457935,C,1,0,0,0.0005,1638.1711415546915,C,1,0,0,0.0005,1638.2071717986187,C,1,0,0,0.0005,1638.1695750223469,C,1,0,0,0.0005,1638.1758411517255,C,1,0,0,0.0005,1638.1727080870362,C,1,0,0,0.0005,1638.205605266274,C,1,0,0,0.0005,1638.1883734104829,C,1,0,0,0.0005,1638.1664419576575,C,1,0,0,0.0005,1638.215004460342,C,1,0,0,0.0005,1638.1962060722062,C,1,0,0,0.0005,1638.20090566924,C,1,0,0,0.0005,1638.1742746193809,C,1,0,0,0.0005,1638.1821072811042,C,1,0,0,0.0005,1638.1648754253129,C,1,0,0,0.0005,1638.1601758282789,C,1,0,0,0.0005,1638.1836738134489,C,1,0,0,0.0005,1638.1680084900022,C,1,0,0,0.0005,1638.1805407487595,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38,2177114164168.38
2,2279696717943640167.25,974203849594.94,302307852510237.81,1638.01,C,1,0,0,0.0005,1638.0562798276437,C,1,0,0,0.0005,1638.0136415435693,C,1,0,0,0.0005,1638.017905371977,C,1,0,0,0.0005,1638.1543478810147,C,1,0,0,0.0005,1638.0946542833105,C,1,0,0,0.0005,1638.098918111718,C,1,0,0,0.0005,1638.12876491057,C,1,0,0,0.0005,1638.1458202241997,C,1,0,0,0.0005,1638.150084052607,C,1,0,0,0.0005,1638.060543656051,C,1,0,0,0.0005,1638.1159734253476,C,1,0,0,0.0005,1638.0818627980884,C,1,0,0,0.0005,1638.1245010821626,C,1,0,0,0.0005,1638.1031819401255,C,1,0,0,0.0005,1638.1415563957923,C,1,0,0,0.0005,1638.0903904549032,C,1,0,0,0.0005,1638.1117095969403,C,1,0,0,0.0005,1638.0775989696808,C,1,0,0,0.0005,1638.039224514014,C,1,0,0,0.0005,1638.137292567385,C,1,0,0,0.0005,1638.0349606856066,C,1,0,0,0.0005,1638.0520159992363,C,1,0,0,0.0005,1638.0434883424214,C,1,0,0,0.0005,1638.1330287389776,C,1,0,0,0.0005,1638.0861266264958,C,1,0,0,0.0005,1638.0264330287916,C,1,0,0,0.0005,1638.158611709422,C,1,0,0,0.0005,1638.107445768533,C,1,0,0,0.0005,1638.1202372537552,C,1,0,0,0.0005,1638.0477521708287,C,1,0,0,0.0005,1638.069071312866,C,1,0,0,0.0005,1638.0221692003843,C,1,0,0,0.0005,1638.009377715162,C,1,0,0,0.0005,1638.0733351412734,C,1,0,0,0.0005,1638.030696857199,C,1,0,0,0.0005,1638.0648074844585,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32,5909309874171.32
3,2279279541059775979.78,3877363903456.39,716581576320563.82,1637.71,C,1,0,0,0.0005,1637.805245114677,C,1,0,0,0.0005,1637.721957439234,C,1,0,0,0.0005,1637.7302862067784,C,1,0,0,0.0005,1637.9968067681957,C,1,0,0,0.0005,1637.8802040225755,C,1,0,0,0.0005,1637.8885327901198,C,1,0,0,0.0005,1637.94683416293,C,1,0,0,0.0005,1637.980149233107,C,1,0,0,0.0005,1637.9884780006514,C,1,0,0,0.0005,1637.8135738822214,C,1,0,0,0.0005,1637.921847860297,C,1,0,0,0.0005,1637.8552177199429,C,1,0,0,0.0005,1637.9385053953856,C,1,0,0,0.0005,1637.8968615576641,C,1,0,0,0.0005,1637.9718204655628,C,1,0,0,0.0005,1637.8718752550312,C,1,0,0,0.0005,1637.9135190927527,C,1,0,0,0.0005,1637.8468889523986,C,1,0,0,0.0005,1637.7719300444999,C,1,0,0,0.0005,1637.9634916980185,C,1,0,0,0.0005,1637.7636012769556,C,1,0,0,0.0005,1637.7969163471328,C,1,0,0,0.0005,1637.7802588120442,C,1,0,0,0.0005,1637.9551629304742,C,1,0,0,0.0005,1637.863546487487,C,1,0,0,0.0005,1637.746943741867,C,1,0,0,0.0005,1638.00513553574,C,1,0,0,0.0005,1637.9051903252084,C,1,0,0,0.0005,1637.9301766278413,C,1,0,0,0.0005,1637.7885875795885,C,1,0,0,0.0005,1637.83023141731,C,1,0,0,0.0005,1637.7386149743227,C,1,0,0,0.0005,1637.71362867169,C,1,0,0,0.0005,1637.8385601848543,C,1,0,0,0.0005,1637.7552725094113,C,1,0,0,0.0005,1637.8219026497657,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72,11507603439175.72
4,2278589714724472236.68,10711884276662.17,1399573391251101.15,1637.21,C,2,0,0,0.0005,1637.3747918753356,C,2,0,0,0.0005,1637.2370442951292,C,2,0,0,0.0005,1637.2508190531498,C,2,0,0,0.0005,1637.6916113098107,C,2,0,0,0.0005,1637.4987646975217,C,2,0,0,0.0005,1637.5125394555423,C,2,0,0,0.0005,1637.6089627616868,C,2,0,0,0.0005,1637.6640617937694,C,2,0,0,0.0005,1637.67783655179,C,2,0,0,0.0005,1637.3885666333563,C,2,0,0,0.0005,1637.567638487625,C,2,0,0,0.0005,1637.4574404234597,C,2,0,0,0.0005,1637.5951880036662,C,2,0,0,0.0005,1637.526314213563,C,2,0,0,0.0005,1637.6502870357488,C,2,0,0,0.0005,1637.484989939501,C,2,0,0,0.0005,1637.5538637296042,C,2,0,0,0.0005,1637.443665665439,C,2,0,0,0.0005,1637.319692843253,C,2,0,0,0.0005,1637.6365122777281,C,2,0,0,0.0005,1637.3059180852324,C,2,0,0,0.0005,1637.361017117315,C,2,0,0,0.0005,1637.3334676012737,C,2,0,0,0.0005,1637.6227375197075,C,2,0,0,0.0005,1637.4712151814804,C,2,0,0,0.0005,1637.2783685691911,C,2,0,0,0.0005,1637.7053860678313,C,2,0,0,0.0005,1637.5400889715836,C,2,0,0,0.0005,1637.5814132456455,C,2,0,0,0.0005,1637.3472423592943,C,2,0,0,0.0005,1637.4161161493976,C,2,0,0,0.0005,1637.2645938111705,C,2,0,0,0.0005,1637.2232695371085,C,2,0,0,0.0005,1637.4298909074184,C,2,0,0,0.0005,1637.2921433272118,C,2,0,0,0.0005,1637.402341391377,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59,18971994859181.59
5,2277557570790274599.29,23966389643497.99,2418462820081902.72,1636.47,C,2,0,0,0.0005,1636.7149678266337,C,2,0,0,0.0005,1636.508815745614,C,2,0,0,0.0005,1636.529430953716,C,2,0,0,0.0005,1637.1891176129789,C,2,0,0,0.0005,1636.9005046995512,C,2,0,0,0.0005,1636.9211199076533,C,2,0,0,0.0005,1637.065426364367,C,2,0,0,0.0005,1637.147887196775,C,2,0,0,0.0005,1637.168502404877,C,2,0,0,0.0005,1636.7355830347356,C,2,0,0,0.0005,1637.0035807400611,C,2,0,0,0.0005,1636.8386590752455,C,2,0,0,0.0005,1637.044811156265,C,2,0,0,0.0005,1636.9417351157554,C,2,0,0,0.0005,1637.127271988673,C,2,0,0,0.0005,1636.8798894914494,C,2,0,0,0.0005,1636.9829655319593,C,2,0,0,0.0005,1636.8180438671434,C,2,0,0,0.0005,1636.6325069942257,C,2,0,0,0.0005,1637.106656780571,C,2,0,0,0.0005,1636.6118917861238,C,2,0,0,0.0005,1636.6943526185316,C,2,0,0,0.0005,1636.6531222023277,C,2,0,0,0.0005,1637.086041572469,C,2,0,0,0.0005,1636.8592742833473,C,2,0,0,0.0005,1636.57066136992,C,2,0,0,0.0005,1637.209732821081,C,2,0,0,0.0005,1636.9623503238572,C,2,0,0,0.0005,1637.0241959481632,C,2,0,0,0.0005,1636.6737374104296,C,2,0,0,0.0005,1636.7768134509395,C,2,0,0,0.0005,1636.5500461618178,C,2,0,0,0.0005,1636.488200537512,C,2,0,0,0.0005,1636.7974286590415,C,2,0,0,0.0005,1636.5912765780217,C,2,0,0,0.0005,1636.7561982428376,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93,28302484134188.93
6,2276112864127097991.49,46706487308987.50,3840429385593021.00,1635.43,C,2,0,0,0.0005,1635.7753932908277,C,2,0,0,0.0005,1635.486758030291,C,2,0,0,0.0005,1635.5156215563445,C,2,0,0,0.0005,1636.4392543900617,C,2,0,0,0.0005,1636.0351650253106,C,2,0,0,0.0005,1636.0640285513641,C,2,0,0,0.0005,1636.2660732337397,C,2,0,0,0.0005,1636.3815273379544,C,2,0,0,0.0005,1636.4103908640081,C,2,0,0,0.0005,1635.8042568168812,C,2,0,0,0.0005,1636.1794826555788,C,2,0,0,0.0005,1635.9485744471494,C,2,0,0,0.0005,1636.2372097076861,C,2,0,0,0.0005,1636.092892077418,C,2,0,0,0.0005,1636.3526638119008,C,2,0,0,0.0005,1636.0063014992568,C,2,0,0,0.0005,1636.1506191295252,C,2,0,0,0.0005,1635.9197109210959,C,2,0,0,0.0005,1635.659939186613,C,2,0,0,0.0005,1636.323800285847,C,2,0,0,0.0005,1635.6310756605592,C,2,0,0,0.0005,1635.7465297647739,C,2,0,0,0.0005,1635.6888027126665,C,2,0,0,0.0005,1636.2949367597935,C,2,0,0,0.0005,1635.9774379732032,C,2,0,0,0.0005,1635.5733486084519,C,2,0,0,0.0005,1636.4681179161155,C,2,0,0,0.0005,1636.1217556034715,C,2,0,0,0.0005,1636.2083461816326,C,2,0,0,0.0005,1635.7176662387203,C,2,0,0,0.0005,1635.8619838689885,C,2,0,0,0.0005,1635.5444850823983,C,2,0,0,0.0005,1635.4578945042372,C,2,0,0,0.0005,1635.890847395042,C,2,0,0,0.0005,1635.6022121345056,C,2,0,0,0.0005,1635.8331203429348,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73,39499071264197.73
7,2274184789931705521.00,82557457729970.18,5732652610564508.82,1634.04,C,2,0,0,0.0005,1634.5052740172598,C,2,0,0,0.0005,1634.1199428158482,C,2,0,0,0.0005,1634.1584759359894,C,2,0,0,0.0005,1635.3915357805067,C,2,0,0,0.0005,1634.8520720985305,C,2,0,0,0.0005,1634.8906052186717,C,2,0,0,0.0005,1635.1603370596597,C,2,0,0,0.0005,1635.3144695402243,C,2,0,0,0.0005,1635.3530026603655,C,2,0,0,0.0005,1634.543807137401,C,2,0,0,0.0005,1635.0447376992363,C,2,0,0,0.0005,1634.7364727381068,C,2,0,0,0.0005,1635.1218039395185,C,2,0,0,0.0005,1634.9291383388127,C,2,0,0,0.0005,1635.2759364200833,C,2,0,0,0.0005,1634.8135389783893,C,2,0,0,0.0005,1635.006204579095,C,2,0,0,0.0005,1634.6979396179659,C,2,0,0,0.0005,1634.3511415366952,C,2,0,0,0.0005,1635.2374032999421,C,2,0,0,0.0005,1634.312608416554,C,2,0,0,0.0005,1634.4667408971188,C,2,0,0,0.0005,1634.3896746568364,C,2,0,0,0.0005,1635.198870179801,C,2,0,0,0.0005,1634.775005858248,C,2,0,0,0.0005,1634.2355421762718,C,2,0,0,0.0005,1635.430068900648,C,2,0,0,0.0005,1634.9676714589539,C,2,0,0,0.0005,1635.0832708193775,C,2,0,0,0.0005,1634.4282077769776,C,2,0,0,0.0005,1634.6208733776834,C,2,0,0,0.0005,1634.1970090561306,C,2,0,0,0.0005,1634.0814096957072,C,2,0,0,0.0005,1634.6594064978246,C,2,0,0,0.0005,1634.274075296413,C,2,0,0,0.0005,1634.5823402575422,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00,52561756249208.00
8,2271702000517903035.16,135687464320546.82,8162312017776418.02,1632.26,C,2,0,0,0.0005,1632.8534136195462,C,2,0,0,0.0005,1632.357039633247,C,2,0,0,0.0005,1632.406677031877,C,2,0,0,0.0005,1633.9950737880342,C,2,0,0,0.0005,1633.3001502072154,C,2,0,0,0.0005,1633.3497876058452,C,2,0,0,0.0005,1633.6972493962546,C,2,0,0,0.0005,1633.8957989907744,C,2,0,0,0.0005,1633.9454363894042,C,2,0,0,0.0005,1632.903051018176,C,2,0,0,0.0005,1633.548337200365,C,2,0,0,0.0005,1633.1512380113256,C,2,0,0,0.0005,1633.6476119976248,C,2,0,0,0.0005,1633.3994250044752,C,2,0,0,0.0005,1633.8461615921444,C,2,0,0,0.0005,1633.2505128085854,C,2,0,0,0.0005,1633.498699801735,C,2,0,0,0.0005,1633.1016006126958,C,2,0,0,0.0005,1632.6548640250267,C,2,0,0,0.0005,1633.7965241935144,C,2,0,0,0.0005,1632.6052266263966,C,2,0,0,0.0005,1632.8037762209162,C,2,0,0,0.0005,1632.7045014236564,C,2,0,0,0.0005,1633.7468867948846,C,2,0,0,0.0005,1633.2008754099556,C,2,0,0,0.0005,1632.5059518291368,C,2,0,0,0.0005,1634.044711186664,C,2,0,0,0.0005,1633.4490624031052,C,2,0,0,0.0005,1633.5979745989948,C,2,0,0,0.0005,1632.7541388222864,C,2,0,0,0.0005,1633.0023258154358,C,2,0,0,0.0005,1632.4563144305068,C,2,0,0,0.0005,1632.3074022346173,C,2,0,0,0.0005,1633.0519632140658,C,2,0,0,0.0005,1632.5555892277666,C,2,0,0,0.0005,1632.952688416806,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70,67490539089219.70
9,2268592621603027833.74,210791266963361.68,11196587130008804.58,1630.03,C,2,0,0,0.0005,1630.7682256396467,C,2,0,0,0.0005,1630.1463279417933,C,2,0,0,0.0005,1630.2085177115787,C,2,0,0,0.0005,1632.1985903447094,C,2,0,0,0.0005,1631.3279335677146,C,2,0,0,0.0005,1631.3901233375,C,2,0,0,0.0005,1631.8254517259973,C,2,0,0,0.0005,1632.0742108051386,C,2,0,0,0.0005,1632.136400574924,C,2,0,0,0.0005,1630.8304154094321,C,2,0,0,0.0005,1631.6388824166413,C,2,0,0,0.0005,1631.1413642583586,C,2,0,0,0.0005,1631.763261956212,C,2,0,0,0.0005,1631.4523131072854,C,2,0,0,0.0005,1632.0120210353534,C,2,0,0,0.0005,1631.2657437979294,C,2,0,0,0.0005,1631.576692646856,C,2,0,0,0.0005,1631.0791744885735,C,2,0,0,0.0005,1630.5194665605054,C,2,0,0,0.0005,1631.949831265568,C,2,0,0,0.0005,1630.45727679072,C,2,0,0,0.0005,1630.7060358698614,C,2,0,0,0.0005,1630.5816563302908,C,2,0,0,0.0005,1631.8876414957826,C,2,0,0,0.0005,1631.203554028144,C,2,0,0,0.0005,1630.3328972511495,C,2,0,0,0.0005,1632.2607801144948,C,2,0,0,0.0005,1631.5145028770708,C,2,0,0,0.0005,1631.7010721864267,C,2,0,0,0.0005,1630.643846100076,C,2,0,0,0.0005,1630.9547949490027,C,2,0,0,0.0005,1630.270707481364,C,2,0,0,0.0005,1630.0841381720081,C,2,0,0,0.0005,1631.016984718788,C,2,0,0,0.0005,1630.3950870209346,C,2,0,0,0.0005,1630.8926051792173,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96,84285419784232.96
